Title,Link,Job Type,Campany,Location
Data Scientist,https://wuzzuf.net/jobs/p/oXGuBSKjYv5b-Data-Scientist-Lumin-Giza-Egypt,Full TimeHybrid,Lumin -,"Sheikh Zayed, Giza, Egypt "
NLP Engineer,https://wuzzuf.net/jobs/p/ywB9F5j7XC4y-NLP-Engineer-Lumin-Giza-Egypt,Full TimeHybrid,Lumin -,"Sheikh Zayed, Giza, Egypt "
R&D Engineer,https://wuzzuf.net/jobs/p/uKx9I6RLN5eF-RD-Engineer-Micro-Engineering-Cairo-Egypt,Full TimeHybrid,Micro Engineering -,"Heliopolis, Cairo, Egypt "
Data Science Instructor,https://wuzzuf.net/jobs/p/xoIsNVxK5IYt-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,Full TimePart TimeHybrid,EpsilonAI -,"Nasr City, Cairo, Egypt "
Senior AI Engineer,https://wuzzuf.net/jobs/p/AazuNNyHgw8m-Senior-AI-Engineer-Lumin-Giza-Egypt,Full TimeHybrid,Lumin -,"Sheikh Zayed, Giza, Egypt "
Machine Learning Engineer,https://wuzzuf.net/jobs/p/g/9syguW7fp4GZ-Machine-Learning-Engineer-HackerPulse-Kuwait-City-Kuwait,Full Time,HackerPulse -,"Kuwait City, Kuwait "
Senior Data Scientist - Hybrid,https://wuzzuf.net/jobs/p/vNVfWIIz9Knf-Senior-Data-Scientist---Hybrid-Seoudi-Supermarket-Giza-Egypt,Full TimeHybrid,Seoudi Supermarket -,"Sheikh Zayed, Giza, Egypt "
Senior Machine Learning,https://wuzzuf.net/jobs/p/g/VryVL24RmN1i-Senior-Machine-Learning-Velents-Cairo-Egypt,Full Time,Velents -,"Cairo, Egypt "
Python & Machine Learning Developer,https://wuzzuf.net/jobs/p/g/MdHUkTLnHgKV-Python-Machine-Learning-Developer-Jadeer-Cairo-Egypt,Full Time,Jadeer -,"Cairo, Egypt "
Senior Machine Learning Engineer,https://wuzzuf.net/jobs/p/g/PNYm596Aftng-Senior-Machine-Learning-Engineer-Siemens-Digital-Industries-Software-Cairo-Egypt,Full Time,Siemens Digital Industries Software -,"Cairo, Egypt "
Machine Learning Engineer _VOIS,https://wuzzuf.net/jobs/p/g/oipwfNShOAiy-Machine-Learning-Engineer-VOIS-VOIS-Cairo-Egypt,Full Time,_VOIS -,"Cairo, Egypt "
Machine Learning Engineer,https://wuzzuf.net/jobs/p/g/Si0VE4SrBnsm-Machine-Learning-Engineer-Siemens-Digital-Industries-Software-Cairo-Egypt,Full Time,Siemens Digital Industries Software -,"Cairo, Egypt "
Junior AI,https://wuzzuf.net/jobs/p/ikG52hDCEsIp-Junior-AI-Nahdet-Misr-Publishing-Group-Giza-Egypt,Full TimeOn-site,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt "
Senior Learning Leader,https://wuzzuf.net/jobs/p/g/TWi3qc71Nzz1-Senior-Learning-Leader-Oracle-Dubai-United-Arab-Emirates,Full Time,Oracle -,"Dubai, United Arab Emirates "
Learning & Development Manager- Hospitality,https://wuzzuf.net/jobs/p/g/Znn5KCXi3wZq-Learning-Development-Manager--Hospitality-The-First-Group-Dubai-United-Arab-Emirates,Full Time,The First Group -,"Dubai, United Arab Emirates "
Learning & Development Supervisor,https://wuzzuf.net/jobs/p/g/FQJL8nOGTY1J-Learning-Development-Supervisor-NuCorp-Riyadh-Saudi-Arabia,Full Time,NuCorp -,"Riyadh, Saudi Arabia "
DevOps Engineer,https://wuzzuf.net/jobs/p/cuqKraSzynNt-DevOps-Engineer-34ML-Cairo-Egypt,Full TimeHybrid,34ML -,"Heliopolis, Cairo, Egypt "
Learning & Development Manager | Retail | Marks & Spencer Riyadh,https://wuzzuf.net/jobs/p/g/Z19KL7RnMcJd-Learning-Development-Manager-Retail-Marks-Spencer-Riyadh-Al-Futtaim-Health-Riyadh-Saudi-Arabia,Full Time,Al-Futtaim Health -,"Riyadh, Saudi Arabia "
Learning & Development Coordinator (UAE National),https://wuzzuf.net/jobs/p/g/gbK5HmBkMIaQ-Learning-Development-Coordinator-UAE-National-Turner-Townsend-Dubai-United-Arab-Emirates,Full Time,Turner & Townsend -,"Dubai, United Arab Emirates "
Senior Learning & Development Executive,https://wuzzuf.net/jobs/p/g/uNvYL9WJe8ut-Senior-Learning-Development-Executive-Magrabi-Retail-Cairo-Egypt,Full Time,Magrabi Retail -,"Cairo, Egypt "
Senior Learning & Development Executive,https://wuzzuf.net/jobs/p/g/PCx58hJKibko-Senior-Learning-Development-Executive-MAGRABi-Retail-Group-Cairo-Egypt,Full Time,MAGRABi Retail Group -,"Cairo, Egypt "
"Learning & Development Advisor, Riyadh",https://wuzzuf.net/jobs/p/g/KmkTvX4y3AEP-Learning-Development-Advisor-Riyadh-Clyde-Co-Riyadh-Saudi-Arabia,Full Time,Clyde & Co -,"Riyadh, Saudi Arabia "
Learning & Development Analyst - HR,https://wuzzuf.net/jobs/p/g/YeCSqOVTUOtB-Learning-Development-Analyst---HR-Skill-Farm-Cairo-Egypt,Full Time,Skill Farm -,"Cairo, Egypt "
Learning & Development Manager,https://wuzzuf.net/jobs/p/g/hgZLKBZLWA9y-Learning-Development-Manager-ANdAZ-Dubai-United-Arab-Emirates,Full Time,ANdAZ -,"Dubai, United Arab Emirates "
Artificial Intelligence and Robotic,https://wuzzuf.net/jobs/p/g/Rm45wU68Wcft-Artificial-Intelligence-and-Robotic-Astute-Human-Capital-Consultancy-LLC-Dubai-United-Arab-Emirates,Full Time,Astute Human Capital Consultancy LLC -,"Dubai, United Arab Emirates "
Artificial Intelligence Engineer,https://wuzzuf.net/jobs/p/g/cJxKacP4SRfW-Artificial-Intelligence-Engineer-additiv-Dubai-United-Arab-Emirates,Full Time,additiv -,"Dubai, United Arab Emirates "
Remote Data Scientist,https://wuzzuf.net/jobs/p/g/DwakoUpuAjUC-Remote-Data-Scientist-Turing-Cairo-Egypt,Full Time,Turing -,"Cairo, Egypt "
Data Scientist - BCG X,https://wuzzuf.net/jobs/p/g/EnmeRC7hjU8r-Data-Scientist---BCG-X-BCG-X-Dubai-United-Arab-Emirates,Full Time,BCG X -,"Dubai, United Arab Emirates "
Senior Data Scientist,https://wuzzuf.net/jobs/p/g/EWKKslZ1okAi-Senior-Data-Scientist-Siemens-Digital-Industries-Software-Cairo-Egypt,Full Time,Siemens Digital Industries Software -,"Cairo, Egypt "
SASE Engineer with Python,https://wuzzuf.net/jobs/p/g/dB8mgkAA2rbZ-SASE-Engineer-with-Python-CodiLime-Cairo-Egypt,Freelance / Project,CodiLime -,"Cairo, Egypt "
Artificial Intelligence Engineer,https://wuzzuf.net/jobs/p/g/5dvDGA15Ua83-Artificial-Intelligence-Engineer-iHR-International-Human-Resources-Riyadh-Saudi-Arabia,Full Time,iHR (International Human Resources) -,"Riyadh, Saudi Arabia "
Data Scientist,https://wuzzuf.net/jobs/p/g/kt5PZTOa0wlb-Data-Scientist-High5-Dubai-United-Arab-Emirates,Full Time,High5 -,"Dubai, United Arab Emirates "
Automation Engineer,https://wuzzuf.net/jobs/p/FPBoQ8ivhcb0-Automation-Engineer-Giza-Egypt,Full TimeOn-site,Confidential -,"Giza, Egypt "
Real Time Optimization Engineer,https://wuzzuf.net/jobs/p/g/TUcK1b1tMn75-Real-Time-Optimization-Engineer-ICM-People-do-Brasil-Riyadh-Saudi-Arabia,Full Time,ICM People do Brasil -,"Riyadh, Saudi Arabia "
Data Scientist - Operations Research,https://wuzzuf.net/jobs/p/g/rLctVgZRqgja-Data-Scientist---Operations-Research-Ahoy-Dubai-United-Arab-Emirates,Full Time,Ahoy -,"Dubai, United Arab Emirates "
Data Scientist,https://wuzzuf.net/jobs/p/g/FtOX9MywPuxL-Data-Scientist-SupportFinity™-Cairo-Egypt,Full Time,SupportFinity™ -,"Cairo, Egypt "
Senior Data Scientist,https://wuzzuf.net/jobs/p/g/NuqjjurmxEVr-Senior-Data-Scientist-KPMG-Lower-Gulf-Dubai-United-Arab-Emirates,Full Time,KPMG Lower Gulf -,"Dubai, United Arab Emirates "
"Surveyor I, Senior",https://wuzzuf.net/jobs/p/g/Fx8mWUyMghlz-Surveyor-I-Senior-American-Bureau-of-Shipping-ABS-Alexandria-Egypt,Full Time,American Bureau of Shipping (ABS) -,"Alexandria, Egypt "
Scientist - (Munitions),https://wuzzuf.net/jobs/p/g/LhBd4Av0kdwo-Scientist---Munitions-HALCON-Dubai-United-Arab-Emirates,Full Time,HALCON -,"Dubai, United Arab Emirates "
Data Scientist -uae,https://wuzzuf.net/jobs/p/g/27uXHaGLyGGw-Data-Scientist--uae-archcorp-Dubai-United-Arab-Emirates,Full Time,archcorp -,"Dubai, United Arab Emirates "
Big Data AI Developer,https://wuzzuf.net/jobs/p/g/Vnb7E2NppERB-Big-Data-AI-Developer-CBS-Comprehensive-Business-Services-Riyadh-Saudi-Arabia,Full Time,CBS Comprehensive Business Services -,"Riyadh, Saudi Arabia "
Data Scientist,https://wuzzuf.net/jobs/p/g/9W12S2MNk5be-Data-Scientist-Mendel-ai-Cairo-Egypt,Full Time,Mendel.ai -,"Cairo, Egypt "
Protein Design- Senior Scientist,https://wuzzuf.net/jobs/p/g/bGcEVxx5afoW-Protein-Design--Senior-Scientist-Amgen-Cairo-Egypt,Full Time,Amgen -,"Cairo, Egypt "
Reservoir Engineer I,https://wuzzuf.net/jobs/p/g/rDkmE2YQY6sn-Reservoir-Engineer-I-North-Oil-Company-Qatar-Doha-Qatar,Full Time,North Oil Company Qatar -,"Doha, Qatar "
Python Data Enginer,https://wuzzuf.net/jobs/p/g/Bw6T3uUSl1dJ-Python-Data-Enginer-Virtusa-Dubai-United-Arab-Emirates,Full Time,Virtusa -,"Dubai, United Arab Emirates "
Principal Data Scientist,https://wuzzuf.net/jobs/p/g/b7RdeV98ItbT-Principal-Data-Scientist-Core42-Dubai-United-Arab-Emirates,Full Time,Core42 -,"Dubai, United Arab Emirates "
Senior Data Scientist - Signal Processing,https://wuzzuf.net/jobs/p/g/vwWPXVfWGqrj-Senior-Data-Scientist---Signal-Processing-Halian-Dubai-United-Arab-Emirates,Full Time,Halian -,"Dubai, United Arab Emirates "
Senior Data Scientist,https://wuzzuf.net/jobs/p/g/MY2cSL4UAOvX-Senior-Data-Scientist-Valeo-Cairo-Egypt,Full Time,Valeo -,"Cairo, Egypt "
Data Annotator,https://wuzzuf.net/jobs/p/g/yWN9fIzBvCR3-Data-Annotator-Truelancer-com-Cairo-Egypt,Full Time,Truelancer.com -,"Cairo, Egypt "
Customer Facing Learning & Development,https://wuzzuf.net/jobs/p/g/kaTXe4hjf3dt-Customer-Facing-Learning-Development-Nestlé-Nespresso-SA-Dubai-United-Arab-Emirates,Full Time,Nestlé Nespresso SA -,"Dubai, United Arab Emirates "
Devops Engineer,https://wuzzuf.net/jobs/p/G6VF6XVdVVau-Devops-Engineer-Astralyx-Cairo-Egypt,Full TimeRemote,Astralyx -,"Cairo, Egypt "
AI Research Lead,https://wuzzuf.net/jobs/p/T7yvkRVzZZUf-AI-Research-Lead-Nahdet-Misr-Publishing-Group-Giza-Egypt,Full TimeHybrid,Nahdet Misr Publishing Group -,"Mohandessin, Giza, Egypt "
